50		
100
11	34	52
32	31	14
46	47	81
43	25	67
38	41	53
39	32	26
39	46	55
24	22	73
14	28	89
4	2	22
38	23	93
21	3	25
37	36	85
7	24	16
20	49	56
9	1	64
8	49	51
8	3	81
48	41	39
34	17	42
47	24	89
5	27	72
20	27	58
42	14	69
27	47	62
28	1	12
15	23	59
22	11	9
28	9	22
36	10	18
15	33	75
17	32	62
34	35	84
27	3	46
27	9	81
33	49	86
31	23	94
10	24	85
33	20	54
8	22	13
28	17	90
10	36	17
47	15	4
8	31	92
26	10	91
45	18	84
31	16	28
20	33	65
33	17	82
34	20	100
35	35	50
5	5	99
33	35	98
20	11	74
42	17	19
26	49	52
6	11	94
1	30	73
20	24	38
22	45	24
4	2	73
28	33	46
12	4	25
10	18	49
36	23	89
34	3	94
19	34	3
9	17	59
40	11	30
21	35	51
11	7	83
3	47	58
40	19	4
40	30	6
39	40	63
16	49	77
44	9	65
12	14	18
4	46	71
22	48	65
37	15	36
47	3	27
23	34	33
25	24	75
4	32	13
27	27	93
22	32	46
46	0	58
16	17	22
19	42	76
47	20	62
16	25	80
43	24	6
34	3	44
10	24	26
36	8	26
18	1	15
47	30	19
29	14	34
30	6	60
